North American Industry Classification System (NAICS);January 2022;February 2022;March 2022;April 2022;May 2022;June 2022;July 2022;August 2022;September 2022;October 2022;November 2022;December 2022;January 2023;February 2023;March 2023;April 2023;May 2023;June 2023;July 2023;August 2023;September 2023;October 2023;November 2023;December 2023;January 2024;February 2024;March 2024;April 2024;May 2024;June 2024;July 2024;August 2024
Total employed - all industries ;19,280.10;19,615.30;19,639.80;19,692.90;19,736.50;19,705.00;19,740.10;19,728.60;19,727.80;19,808.80;19,837.00;19,907.40;20,017.00;20,034.90;20,076.40;20,114.50;20,115.50;20,173.00;20,168.10;20,219.10;20,269.80;20,293.70;20,318.10;20,324.90;20,362.20;20,402.90;20,400.70;20,491.10;20,517.80;20,516.40;20,513.60;20,535.70
Goods-producing sector;3,999.10;4,040.60;4,061.40;4,069.70;4,054.70;4,068.70;4,081.80;4,100.20;4,080.80;4,116.70;4,095.40;4,126.70;4,133.30;4,140.50;4,120.10;4,126.10;4,154.80;4,154.10;4,117.40;4,124.10;4,116.40;4,124.20;4,160.70;4,127.80;4,104.80;4,098.50;4,128.40;4,118.00;4,097.30;4,109.90;4,122.00;4,124.70
Agriculture;251.4;252.3;252;252.7;254.5;257.5;254.7;264.1;261.1;261.8;259.1;269.3;264.2;262.9;259.9;257.8;260.3;255;263.5;254.9;254.5;257.5;253.6;240.8;235;229;226.5;221.1;224.3;236.6;239;240.5
Forestry - fishing - mining - quarrying - oil and gas;328.1;328.8;337.1;334.3;334.4;326.3;328.1;330;326;325.6;328.4;323.9;324.6;328.3;319.6;322;323.5;326.4;326.6;330.3;328.9;331.8;330;332.2;330.7;334.6;338.1;345.8;348.8;351.8;356.8;350.3
Utilities;143.9;142.7;140.5;147.5;148.3;145.8;147.9;151.5;155.4;155.9;153.2;147;150.1;155.7;156;153.1;156.9;155.7;156.3;154.7;153.4;152.1;154.2;158.8;155.8;155.1;159.4;154.4;149;146;152.2;145.4
Construction;1,491.50;1,526.60;1,539.70;1,543.10;1,547.40;1,560.20;1,566.50;1,562.30;1,559.90;1,579.40;1,570.00;1,597.10;1,602.30;1,595.80;1,589.30;1,594.90;1,594.90;1,586.20;1,537.90;1,570.50;1,560.90;1,578.20;1,596.80;1,581.70;1,575.10;1,585.60;1,600.90;1,589.80;1,560.20;1,556.40;1,563.40;1,566.70
Manufacturing;1,784.20;1,790.30;1,792.20;1,792.20;1,770.10;1,779.00;1,784.60;1,792.30;1,778.40;1,794.00;1,784.70;1,789.30;1,792.00;1,797.80;1,795.30;1,798.20;1,819.20;1,830.80;1,833.10;1,813.50;1,818.80;1,804.60;1,826.10;1,814.30;1,808.10;1,794.20;1,803.50;1,806.90;1,815.00;1,819.20;1,810.60;1,821.80
Services-producing sector;15,281.00;15,574.70;15,578.40;15,623.10;15,681.90;15,636.20;15,658.20;15,628.40;15,647.00;15,692.10;15,741.60;15,780.70;15,883.60;15,894.40;15,956.30;15,988.50;15,960.70;16,018.80;16,050.60;16,095.10;16,153.40;16,169.50;16,157.50;16,197.10;16,257.50;16,304.40;16,272.40;16,373.10;16,420.50;16,406.40;16,391.60;16,411.10
Wholesale and retail trade;2,993.40;3,017.10;3,031.00;3,033.10;3,038.60;2,990.60;2,989.90;2,981.60;2,966.60;2,935.80;2,933.20;2,910.20;2,964.60;2,960.10;2,959.50;2,979.70;2,960.50;2,996.20;2,996.10;2,999.40;2,989.60;2,972.30;2,948.00;2,932.10;2,963.40;2,946.60;2,923.50;2,929.60;2,923.30;2,913.00;2,868.90;2,882.80
Transportation and warehousing;1,007.80;1,012.20;981.8;977.4;972.2;976.8;997.5;983.1;969.2;963.4;964;985.6;972.8;979.1;1,011.70;1,029.10;1,020.20;1,032.70;1,021.00;1,034.10;1,051.70;1,055.50;1,062.40;1,053.50;1,073.40;1,082.80;1,081.60;1,088.30;1,067.70;1,056.00;1,070.50;1,072.10
